id,sample,utr5_length,cds_length,utr3_length,total_length,utr5_gc_content,cds_gc_content,utr3_gc_content,ribonn_te,utrlm_mrl,utrlm_te,utrlm_el,rnafold_mfe,rnafold_mfe_per_nt
NM_001009738.1,gt,92,444,182,718,0.5652173913043478,0.4324324324324324,0.3241758241758242,1.2912548,7.303940773010254,-0.7333282828330994,2.7766947746276855,-177.39999389648438,-0.2470752004129308
NM_001009738.1,sample_0,177,444,125,746,0.615819209039548,0.4324324324324324,0.336,1.0141176,7.181910037994385,-0.2412178814411163,3.102630615234375,-212.6999969482422,-0.2851206393408072
NM_001009738.1,sample_1,168,444,16,628,0.5357142857142857,0.4324324324324324,0.375,0.96905154,4.558004856109619,-0.7612887620925903,2.819492816925049,-172.5,-0.2746815286624204
NM_001009738.1,sample_2,36,444,200,680,0.4166666666666667,0.4324324324324324,0.37,1.2327709,5.621227741241455,-1.0384596586227417,2.3974995613098145,-164.6999969482422,-0.242205877865062
NM_001009738.1,sample_3,129,444,200,773,0.4961240310077519,0.4324324324324324,0.355,1.0719278,5.6372857093811035,-0.8966779708862305,2.62203598022461,-188.8999938964844,-0.2443725664896305
NM_001009738.1,sample_4,143,444,200,787,0.6013986013986014,0.4324324324324324,0.315,1.0814718,5.409934997558594,-0.3556509613990783,3.1176257133483887,-196.6000061035156,-0.2498094105508457
NM_001009738.1,sample_5,190,444,200,834,0.4736842105263157,0.4324324324324324,0.365,0.9092137,5.644052982330322,-1.3695123195648191,2.520507335662842,-212.6000061035156,-0.254916074464647
NM_001009738.1,sample_6,196,444,200,840,0.6989795918367347,0.4324324324324324,0.41,0.99047804,6.350363254547119,-0.2102477103471756,3.1154160499572754,-252.8999938964844,-0.3010714213053385
NM_001009738.1,sample_7,163,444,200,807,0.5214723926380368,0.4324324324324324,0.365,1.0320832,4.9269256591796875,-0.5917872190475464,3.058886766433716,-213.1999969482422,-0.2641883481390857
NM_001037520.2,gt,36,240,57,333,0.6111111111111112,0.475,0.3859649122807017,1.6370162,3.508950471878052,-1.0223692655563354,2.282788038253784,-97.8000030517578,-0.2936937028581315
NM_001037520.2,sample_0,136,240,180,556,0.5294117647058824,0.475,0.4333333333333333,1.5747862,4.49497652053833,-0.3696483969688415,3.000617504119873,-161.39999389648438,-0.2902877588066265
NM_001037520.2,sample_1,10,240,61,311,0.3,0.475,0.3442622950819672,1.6635324,7.726953506469727,-0.2969007790088653,3.2062828540802,-80.4000015258789,-0.2585209052279064
NM_001037520.2,sample_2,123,240,99,462,0.2926829268292683,0.475,0.4545454545454545,1.4254228,6.7199578285217285,-0.3780368566513061,3.1059961318969727,-136.5,-0.2954545454545454
NM_001037520.2,sample_3,39,240,82,361,0.3076923076923077,0.475,0.4268292682926829,1.6372424,7.437000751495361,-0.5180721282958984,2.710205554962158,-99.3000030517578,-0.2750692605311851
NM_001037520.2,sample_4,221,240,200,661,0.3619909502262443,0.475,0.33,1.2535893,6.5954132080078125,-0.6299928426742554,3.17006254196167,-171.6999969482422,-0.2597579378944662
NM_001037520.2,sample_5,186,240,142,568,0.4516129032258064,0.475,0.3098591549295774,1.286249,6.708742618560791,-0.6559009552001953,2.1475844383239746,-156.10000610351562,-0.2748239544075979
NM_001037520.2,sample_6,47,240,81,368,0.4042553191489361,0.475,0.4938271604938271,1.587947,7.964107513427734,-0.6411629319190979,2.6023266315460205,-107.5999984741211,-0.292391300201416
NM_001037520.2,sample_7,140,240,173,553,0.35,0.475,0.3526011560693641,1.5290594,5.621495723724365,-0.5956481695175171,3.063107967376709,-139.8000030517578,-0.2528028988277718
NM_001100620.3,gt,100,435,136,671,0.56,0.5770114942528736,0.4117647058823529,0.6919832,5.982229709625244,-0.2957468628883362,2.9772610664367676,-230.6000061035156,-0.3436661789918265
NM_001100620.3,sample_0,84,435,139,658,0.6071428571428571,0.5770114942528736,0.4964028776978417,0.9303317,6.036633491516113,-0.2292389124631881,3.7051100730896,-215.8000030517578,-0.327963530473796
NM_001100620.3,sample_1,15,435,200,650,0.6,0.5770114942528736,0.475,0.9733281,7.441611289978027,-0.4014721512794494,2.9918246269226074,-207.0,-0.3184615384615384
NM_001100620.3,sample_2,86,435,100,621,0.5465116279069767,0.5770114942528736,0.42,0.79884416,3.714885711669922,-1.4427528381347656,2.7401576042175293,-219.1999969482422,-0.3529790611082805
NM_001100620.3,sample_3,175,435,200,810,0.68,0.5770114942528736,0.565,0.7030422,6.475701332092285,-0.2619527876377105,2.9919002056121826,-296.29998779296875,-0.3658024540653935
NM_001100620.3,sample_4,103,435,200,738,0.4077669902912621,0.5770114942528736,0.345,0.7545847,5.607664585113525,-0.4874871671199798,2.5362086296081543,-217.3999938964844,-0.2945799375291116
NM_001100620.3,sample_5,200,435,1,636,0.485,0.5770114942528736,0.0,0.8458037,7.007984161376953,-0.6321489214897156,2.8959081172943115,-210.0,-0.330188679245283
NM_001100620.3,sample_6,106,435,28,569,0.5094339622641509,0.5770114942528736,0.4285714285714285,0.74397075,6.39015531539917,-0.6487005949020386,3.047648668289185,-190.6000061035156,-0.3349736486880766
NM_001100620.3,sample_7,139,435,200,774,0.4964028776978417,0.5770114942528736,0.61,0.7498802,6.5902204513549805,-0.2522063553333282,3.5521106719970703,-266.20001220703125,-0.3439276643501696
NM_001172956.1,gt,109,279,144,532,0.4495412844036697,0.5053763440860215,0.2986111111111111,1.2370607,6.0589118003845215,-0.7411043643951416,2.780930757522583,-148.89999389648438,-0.279887206572339
NM_001172956.1,sample_0,119,279,200,598,0.4705882352941176,0.5053763440860215,0.365,1.2721831,7.634808540344238,-0.5974999666213989,2.9070746898651123,-172.1999969482422,-0.2879598611174618
NM_001172956.1,sample_1,174,279,47,500,0.4195402298850574,0.5053763440860215,0.425531914893617,1.1696798,6.238587379455566,-0.6317967176437378,2.7165253162384033,-135.6999969482422,-0.2713999938964844
NM_001172956.1,sample_2,128,279,200,607,0.4921875,0.5053763440860215,0.41,1.0929363,7.738122940063477,-0.7827007174491882,2.186159372329712,-150.60000610351562,-0.2481054466285265
NM_001172956.1,sample_3,94,279,200,573,0.4893617021276595,0.5053763440860215,0.33,1.3091058,7.227996826171875,-0.2455417662858963,2.805662155151367,-143.6999969482422,-0.2507853349882062
NM_001172956.1,sample_4,172,279,200,651,0.5,0.5053763440860215,0.39,0.8628008,5.531635761260986,-0.6181845664978027,2.469454050064087,-201.1000061035156,-0.3089093795752928
NM_001172956.1,sample_5,29,279,84,392,0.4137931034482758,0.5053763440860215,0.3452380952380952,1.5609279,8.213886260986328,-1.1759566068649292,2.750875234603882,-108.3000030517578,-0.2762755179891781
NM_001172956.1,sample_6,101,279,97,477,0.4455445544554455,0.5053763440860215,0.4123711340206185,1.2919033,6.407215118408203,-0.8848923444747925,2.773253917694092,-130.6999969482422,-0.2740041864743023
NM_001172956.1,sample_7,73,279,1,353,0.4520547945205479,0.5053763440860215,0.0,1.4795356,5.025540351867676,-0.935562252998352,2.7860817909240723,-112.9000015258789,-0.319830032651215
NM_001304353.2,gt,152,219,151,522,0.6644736842105263,0.6118721461187214,0.5629139072847682,0.8264797,5.28144645690918,-0.4888006150722503,2.733604431152344,-207.1999969482422,-0.3969348600541038
NM_001304353.2,sample_0,194,219,200,613,0.5103092783505154,0.6118721461187214,0.605,1.1425124,6.798600196838379,-0.1641291081905365,2.7207164764404297,-212.8999938964844,-0.3473083097821931
NM_001304353.2,sample_1,28,219,200,447,0.6428571428571429,0.6118721461187214,0.4,1.4329522,7.398589134216309,-0.3741622567176819,2.9404354095458984,-138.89999389648438,-0.3107382413791597
NM_001304353.2,sample_2,52,219,200,471,0.6730769230769231,0.6118721461187214,0.64,1.4430197,6.7825446128845215,-0.2155276536941528,2.635111093521118,-192.3999938964844,-0.4084925560434912
NM_001304353.2,sample_3,61,219,200,480,0.4426229508196721,0.6118721461187214,0.48,1.5952326,7.026564121246338,-0.8292266130447388,2.8488247394561768,-156.60000610351562,-0.3262500127156575
NM_001304353.2,sample_4,173,219,160,552,0.8034682080924855,0.6118721461187214,0.5875,0.78947884,5.486608028411865,-1.2847285270690918,2.6818041801452637,-255.6999969482422,-0.4632246321526126
NM_001304353.2,sample_5,146,219,200,565,0.3698630136986301,0.6118721461187214,0.47,1.3068143,5.853702545166016,-0.8635819554328918,2.993130922317505,-172.60000610351562,-0.3054867364663993
NM_001304353.2,sample_6,131,219,76,426,0.6793893129770993,0.6118721461187214,0.5263157894736842,1.5619477,6.865715026855469,-0.6353303790092468,2.775149345397949,-149.60000610351562,-0.3511737232476892
NM_001304353.2,sample_7,13,219,121,353,0.5384615384615384,0.6118721461187214,0.5785123966942148,1.5046842,7.781455993652344,-0.2180589139461517,2.9198899269104004,-137.60000610351562,-0.3898017170071264
NM_001388305.1,gt,161,270,82,513,0.4968944099378882,0.4518518518518518,0.3414634146341463,0.9071379,5.887686252593994,-0.3859528303146362,2.9967000484466553,-140.3000030517578,-0.2734892847012823
NM_001388305.1,sample_0,177,270,188,635,0.4463276836158192,0.4518518518518518,0.3297872340425531,0.87503445,6.341523170471191,-0.6511171460151672,2.629542589187622,-163.6999969482422,-0.2577952707846334
NM_001388305.1,sample_1,119,270,200,589,0.7058823529411765,0.4518518518518518,0.425,1.0039663,6.768031597137451,-0.2116144001483917,2.795396566390991,-177.89999389648438,-0.3020373410806186
NM_001388305.1,sample_2,100,270,6,376,0.56,0.4518518518518518,0.6666666666666666,1.1772528,5.658344745635986,-0.5554848313331604,2.949542760848999,-105.6999969482422,-0.2811170131602186
NM_001388305.1,sample_3,175,270,200,645,0.5485714285714286,0.4518518518518518,0.555,0.76136017,6.791258335113525,0.0231716241687536,2.6828677654266357,-198.5,-0.3077519379844961
NM_001388305.1,sample_4,73,270,79,422,0.6712328767123288,0.4518518518518518,0.5063291139240507,1.0467874,6.895693302154541,0.0205783490091562,3.075833797454834,-128.0,-0.3033175355450237
NM_001388305.1,sample_5,73,270,109,452,0.5616438356164384,0.4518518518518518,0.4128440366972477,1.0954424,6.819185256958008,-0.4885537624359131,3.159574270248413,-119.1999969482422,-0.2637168074076154
NM_001388305.1,sample_6,22,270,200,492,0.4545454545454545,0.4518518518518518,0.41,1.0353765,8.09575366973877,-0.4470273554325104,2.926945686340332,-120.6999969482422,-0.2453251970492727
NM_001388305.1,sample_7,109,270,200,579,0.6330275229357798,0.4518518518518518,0.475,1.0599273,5.823813438415527,-0.8500852584838867,3.050468921661377,-173.3000030517578,-0.2993091589840376
NM_001397349.2,gt,12,354,157,523,0.5833333333333334,0.556497175141243,0.5222929936305732,0.87142503,7.214493274688721,-0.8761783838272095,3.293645143508911,-175.5,-0.3355640535372849
NM_001397349.2,sample_0,167,354,200,721,0.844311377245509,0.556497175141243,0.44,0.47755465,5.499962329864502,-0.6636750102043152,2.4987030029296875,-292.70001220703125,-0.4059639559043429
NM_001397349.2,sample_1,72,354,36,462,0.7083333333333334,0.556497175141243,0.2777777777777778,0.81769055,6.627942085266113,-0.3890106678009033,2.6325390338897705,-147.8000030517578,-0.3199134265189563
NM_001397349.2,sample_2,83,354,200,637,0.6024096385542169,0.556497175141243,0.535,0.8174357,7.487419128417969,-0.2979834973812103,3.5412373542785645,-229.3999938964844,-0.3601255791153601
NM_001397349.2,sample_3,157,354,200,711,0.6624203821656051,0.556497175141243,0.445,0.6706405,6.627801895141602,-0.3426927030086517,3.0004842281341553,-252.8000030517578,-0.3555555598477606
NM_001397349.2,sample_4,85,354,69,508,0.6588235294117647,0.556497175141243,0.5217391304347826,1.1929735,7.205792903900147,-0.4218308925628662,3.0408570766448975,-153.10000610351562,-0.3013779647707
NM_001397349.2,sample_5,139,354,200,693,0.7122302158273381,0.556497175141243,0.355,0.8997353,4.43464469909668,-0.2163968831300735,3.2886130809783936,-238.1000061035156,-0.3435786523860254
NM_001397349.2,sample_6,195,354,200,749,0.6666666666666666,0.556497175141243,0.565,0.4014501,6.989973068237305,-0.2443932592868805,3.086520195007324,-297.1000061035156,-0.3966622244372705
NM_001397349.2,sample_7,20,354,200,574,0.35,0.556497175141243,0.605,0.9668037,8.117755889892578,-0.6187143325805664,2.5725064277648926,-204.3999938964844,-0.3560975503423073
NM_001423820.1,gt,42,384,160,586,0.3333333333333333,0.5651041666666666,0.30625,1.673093,8.100045204162598,0.2042499482631683,3.166569948196411,-180.8999938964844,-0.3087030612567992
NM_001423820.1,sample_0,63,384,200,647,0.3333333333333333,0.5651041666666666,0.37,1.6572812,7.808342456817627,-0.4124146997928619,3.375274181365967,-194.6000061035156,-0.3007728069606115
NM_001423820.1,sample_1,19,384,1,404,0.3684210526315789,0.5651041666666666,0.0,1.6568689,7.761326789855957,-0.6472933292388916,2.7739176750183105,-141.5,-0.3502475247524752
NM_001423820.1,sample_2,27,384,74,485,0.1481481481481481,0.5651041666666666,0.3378378378378378,1.6703106,8.046113967895508,-0.6905955076217651,2.813774585723877,-160.39999389648438,-0.3307216368999678
NM_001423820.1,sample_3,39,384,200,623,0.3846153846153846,0.5651041666666666,0.375,1.6669263,7.540957450866699,-0.2406794726848602,2.9810237884521484,-195.0,-0.3130016051364366
NM_001423820.1,sample_4,12,384,200,596,0.3333333333333333,0.5651041666666666,0.34,1.659931,8.027983665466309,-0.2995974719524383,3.0952463150024414,-175.8000030517578,-0.2949664480734191
NM_001423820.1,sample_5,14,384,180,578,0.2857142857142857,0.5651041666666666,0.2833333333333333,1.6476239,8.036564826965332,-0.5156968832015991,3.205920696258545,-167.6999969482422,-0.2901384030246404
NM_001423820.1,sample_6,46,384,59,489,0.2826086956521739,0.5651041666666666,0.3898305084745763,1.6650234,8.124143600463867,-0.1022234186530113,2.973330020904541,-161.10000610351562,-0.3294478652423632
NM_001423820.1,sample_7,42,384,200,626,0.3095238095238095,0.5651041666666666,0.43,1.628347,7.552930355072021,-0.4665761888027191,2.7751903533935547,-194.3000030517578,-0.3103833914564821
NM_001433427.1,gt,22,471,121,614,0.6818181818181818,0.5626326963906582,0.4214876033057851,1.4311454,6.9214067459106445,-0.2038815319538116,2.848471403121948,-193.3999938964844,-0.3149837034144697
NM_001433427.1,sample_0,147,471,125,743,0.5918367346938775,0.5626326963906582,0.488,1.3992988,6.020702362060547,-0.5825653076171875,3.4218592643737793,-264.1000061035156,-0.3554508830464544
NM_001433427.1,sample_1,35,471,115,621,0.6285714285714286,0.5626326963906582,0.5391304347826087,1.4298332,7.494842529296875,0.0981156080961227,3.9917750358581543,-217.1999969482422,-0.3497584491920164
NM_001433427.1,sample_2,24,471,102,597,0.6666666666666666,0.5626326963906582,0.5098039215686274,1.4517254,7.00432014465332,-0.4252952039241791,2.706991672515869,-210.8000030517578,-0.3530988325825089
NM_001433427.1,sample_3,53,471,143,667,0.6037735849056604,0.5626326963906582,0.4755244755244755,1.4292773,6.949029922485352,0.1059964746236801,3.370762348175049,-227.3000030517578,-0.3407796147702516
NM_001433427.1,sample_4,50,471,53,574,0.58,0.5626326963906582,0.4716981132075472,1.5437418,7.418949127197266,-0.2064652442932129,3.175758600234986,-189.1000061035156,-0.3294425193441039
NM_001433427.1,sample_5,47,471,111,629,0.6170212765957447,0.5626326963906582,0.5855855855855856,1.4603225,7.289844512939453,0.0165654756128788,3.378321886062622,-226.1999969482422,-0.3596184371196219
NM_001433427.1,sample_6,120,471,135,726,0.45,0.5626326963906582,0.5481481481481482,1.2990087,5.404023170471191,-0.6184558868408203,3.0083467960357666,-236.8000030517578,-0.3261708031015948
NM_001433427.1,sample_7,22,471,83,576,0.5,0.5626326963906582,0.6144578313253012,1.421902,7.684382438659668,-0.361801266670227,2.678581714630127,-225.8000030517578,-0.3920138941870795
NM_010405.5,gt,64,429,104,597,0.609375,0.5524475524475524,0.5288461538461539,1.5434977,7.198162078857422,0.2319421470165252,2.7272000312805176,-176.60000610351562,-0.295812405533527
NM_010405.5,sample_0,68,429,164,661,0.4705882352941176,0.5524475524475524,0.4939024390243902,1.5041997,7.915966987609863,-0.3191001117229461,2.759977340698242,-199.1000061035156,-0.3012102966770282
NM_010405.5,sample_1,42,429,118,589,0.4285714285714285,0.5524475524475524,0.4830508474576271,1.569022,7.499270439147949,-0.497231662273407,3.1722750663757324,-176.89999389648438,-0.3003395482113487
